,id,app_name,genres,tags,specs,combined_features
0,610221,night in the woodssoundtrack vol ii,adventure,adventure,singleplayer,adventure adventure singleplayer
1,241950,hacker evolution duality hardcore package part 1 dlc,indie,indie,singleplayer,indie indie singleplayer
2,718090,princesslootpixelagain x2,action,early access,singleplayer,action early access singleplayer
3,744170,starfighter neon,action,action,singleplayer,action action singleplayer
4,548050,runes,casual,casual,singleplayer,casual casual singleplayer
5,222632,train simulator the riviera line exeterpaignton route addon,simulation,simulation,singleplayer,simulation simulation singleplayer
6,390452,rocksmith 2014 sublimebadfish,casual,casual,singleplayer,casual casual singleplayer
7,555210,trick and treatvisual novel,casual,free to play,singleplayer,casual free to play singleplayer
8,215370,omertacity of gangstersthe con artist dlc,simulation,strategy,singleplayer,simulation strategy singleplayer
9,685700,asteroid hunter,action,action,singleplayer,action action singleplayer
10,454720,ram boe,casual,indie,singleplayer,casual indie singleplayer
11,563380,shadows,adventure,indie,singleplayer,adventure indie singleplayer
12,295097,rocksmith 2014 soundgardenjesus christ pose,casual,casual,singleplayer,casual casual singleplayer
13,340770,death goat,action,action,singleplayer,action action singleplayer
14,39900,coniclysm,action,action,singleplayer,action action singleplayer
15,477200,descent road to legend,adventure,rpg,singleplayer,adventure rpg singleplayer
16,612730,bill hicks reflections,none,movie,captions available,none movie captions available
17,15100,assassins creed directors cut edition,action,action,singleplayer,action action singleplayer
18,222591,train simulator metronom me 146 loco addon,simulation,simulation,singleplayer,simulation simulation singleplayer
19,593420,fantasy groundsdarkwoulfes volume 26things that go bump pack 2 token pack,indie,strategy,multiplayer,indie strategy multiplayer
20,419330,sin city,none,movie,captions available,none movie captions available
21,286260,faultmilestone one,adventure,visual novel,singleplayer,adventure visual novel singleplayer
22,256030,shadows heretic kingdoms,indie,rpg,singleplayer,indie rpg singleplayer
23,556000,gold crusader,adventure,indie,singleplayer,adventure indie singleplayer
24,305390,world war 2 time of wrath,indie,strategy,singleplayer,indie strategy singleplayer
25,65710,patmat,casual,casual,singleplayer,casual casual singleplayer
26,637794,rocksmith 2014 edition remastered steve miller bandjet airliner,casual,casual,singleplayer,casual casual singleplayer
27,260960,agarestgenerations of war premium edition upgrade,adventure,strategy,singleplayer,adventure strategy singleplayer
28,370540,gary grigsbys war in the east,simulation,strategy,singleplayer,simulation strategy singleplayer
29,385700,battle for the sun,action,action,singleplayer,action action singleplayer
30,463901,new player bundle,action,strategy,singleplayer,action strategy singleplayer
31,623110,get evenost,action,action,singleplayer,action action singleplayer
32,581390,fantasy groundstrolls lizardmen and rockmen characters token pack,indie,strategy,multiplayer,indie strategy multiplayer
33,720810,super trashforce ost,action,action,singleplayer,action action singleplayer
34,530180,party harddark castle,action,strategy,singleplayer,action strategy singleplayer
35,71340,sonic generations collection,action,platformer,singleplayer,action platformer singleplayer
36,32120,chainz 2 relinked,casual,casual,singleplayer,casual casual singleplayer
37,262190,zombeer,action,action,singleplayer,action action singleplayer
38,446690,7 assassins,none,war,captions available,none war captions available
39,734970,rifftrax ghosthouse,none,gore,none,none gore none
40,707690,i love drozdov terra viva,action,action,singleplayer,action action singleplayer
41,735570,project rhombus,action,free to play,singleplayer,action free to play singleplayer
42,511892,mafia iiifamily kick back pack,action,nudity,singleplayer,action nudity singleplayer
43,297831,total war rome ii black sea colonies culture pack,strategy,strategy,singleplayer,strategy strategy singleplayer
44,607250,mxgp3additional tracks,racing,simulation,singleplayer,racing simulation singleplayer
45,446960,buzzard,none,comedy,none,none comedy none
